country,state,city,station,last_update,latitude,longitude,pollutant_type,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",25-03-2025 10:00,20.918946,74.776388,OZONE,11,122,38
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",25-03-2025 10:00,21.001264,75.565602,NH3,2,7,4
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",25-03-2025 10:00,19.854616,75.905894,PM10,52,113,76
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",25-03-2025 10:00,20.555712,74.529236,SO2,27,66,34
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",25-03-2025 10:00,19.296481,72.840923,PM10,0,0,0
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",25-03-2025 10:00,19.065931,72.862131,NO2,0,0,0
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",25-03-2025 10:00,19.065931,72.862131,OZONE,0,0,0
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",25-03-2025 10:00,19.10122,74.73339,PM10,44,137,83
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",25-03-2025 10:00,19.10122,74.73339,SO2,3,15,8
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB",25-03-2025 10:00,20.719516,77.000253,PM2.5,35,98,54
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB",25-03-2025 10:00,20.9402359,77.7895248,SO2,9,22,13
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amaravati - MPCB",25-03-2025 10:00,20.939198,77.765701,NH3,0,0,0
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amaravati - MPCB",25-03-2025 10:00,20.939198,77.765701,SO2,0,0,0
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB",25-03-2025 10:00,18.39963,76.57452,PM2.5,8,144,86
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",25-03-2025 10:00,18.1023399,73.4783687,PM2.5,64,220,91
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",25-03-2025 10:00,18.1023399,73.4783687,OZONE,4,105,28
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",25-03-2025 10:00,18.9767,72.838,PM2.5,43,97,64
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",25-03-2025 10:00,19.047,72.8746,PM10,67,115,86
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",25-03-2025 10:00,19.047,72.8746,NO2,100,130,112
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",25-03-2025 10:00,19.047,72.8746,SO2,6,6,6
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",25-03-2025 10:00,19.047,72.8746,OZONE,1,1,1
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB",25-03-2025 10:00,19.3832,72.8204,PM2.5,29,121,60
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB",25-03-2025 10:00,19.3832,72.8204,SO2,27,28,28
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB",25-03-2025 10:00,19.3832,72.8204,OZONE,6,10,7
India,Maharashtra,Mumbai,"Vile Parle West, Mumbai - MPCB",25-03-2025 10:00,19.10861,72.83622,PM2.5,30,90,67
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",25-03-2025 10:00,18.9936162,72.8128113,PM10,80,144,101
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB",25-03-2025 10:00,21.121801,79.04952,NO2,1,125,22
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",25-03-2025 10:00,19.0364585,72.8954371,CO,0,0,0
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",25-03-2025 10:00,19.0364585,72.8954371,OZONE,0,0,0
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",25-03-2025 10:00,19.10078,72.87462,PM10,79,104,91
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",25-03-2025 10:00,18.91,72.82,PM2.5,14,49,28
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",25-03-2025 10:00,18.91,72.82,PM10,29,168,73
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB",25-03-2025 10:00,18.91,72.82,SO2,0,0,0
